/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from CCMONT1 (1883-1887), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926332 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 40.320155 * LONGITUDE: -5.857607
	DATE/TIME START: 1883-06-01T00:00:00 * DATE/TIME END: 1887-09-30T00:00:00
Event(s):	CCMONT1 * LATITUDE: 40.320155 * LONGITUDE: -5.857607 * LOCATION: Baños de Montemayor, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST) * COMMENT: the symbol "#" represents suspicious data found from a quality control
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Temperature, air [°C] (TTT) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 6am
	Temperature, air [°C] (TTT) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 1pm
	Temperature, air [°C] (TTT) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 6pm
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 6am
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 1pm
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 6pm
	Present weather (ww) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean
Size:	3304 data points
*/
Date/Time	TTT [°C] (at 6am)	TTT [°C] (at 1pm)	TTT [°C] (at 6pm)	ww (at 6am)	ww (at 1pm)	ww (at 6pm)	ww (mean)
1884-07-08	19	24	22	Cloudy	Cloudscape	Covered Sky	Covered Sky
1884-07-09	21	26	24	Covered Sky	Cloudscape	Covered Sky	Covered Sky
1884-07-10	22	27	24	Rainy Day	Covered Sky	Cloudy	Rainy Day
1884-07-11	23	28	23	Cloudy	Covered Sky	Covered Sky	Covered Sky
1884-07-12	21	25	23	Covered Sky	Cloudscape	Clear Sky	Covered Sky
1884-07-13	22	27	22	Clear Sky	Cloudscape	Cloudscape	Clear Sky
1884-07-14	21	26	21	Cloudy	Cloudscape	Clear Sky	Clear Sky
1884-07-16	22	26	24	Cloudy	Cloudscape	Covered Sky	Covered Sky
1884-07-17	24	28	24	Cloudy	Cloudscape	Cloudscape	Clear Sky
1884-07-18	23	27	24	Cloudscape	Cloudscape	Cloudscape	Clear Sky
1884-07-19	24	27	25	Cloudy	Clear Sky	Covered Sky	Covered Sky
1884-07-20	25	29	24	Cloudy	Clear Sky	Clear Sky	Clear Sky
1884-07-21	23	28	25	Clear Sky	Cloudscape	Cloudy	Clear Sky
1884-07-22	24	29	27	Cloudy	Cloudy	Cloudscape	Clear Sky
1884-07-23	26	30	24	Cloudscape	Cloudy	Cloudscape	Clear Sky
1884-07-24	22	28	25	Clear Sky	Clear Sky	Clear Sky	Clear Sky
1884-07-25	24	27	25	Cloudscape	Clear Sky	Cloudy	Clear Sky
1884-07-26	23	29	25	Cloudy	Cloudscape	Clear Sky	Clear Sky
1884-07-27	24	28	25	Cloudy	Covered Sky	Covered Sky	Covered Sky
1884-07-28	25	29	27	Covered Sky	Covered Sky	Cloudy	Covered Sky
1884-07-29	26	30	27	Covered Sky	Covered Sky	Covered Sky	Covered Sky
1884-07-30	26	29	27	Cloudscape	Clear Sky	Cloudscape	Clear Sky
1884-07-31	27	31	28	Cloudscape	Cloudy	Clear Sky	Clear Sky
1884-08-01	26	29	27	Cloudscape	Clear Sky	Clear Sky	Clear Sky
1884-08-02	25	30	27	Cloudy	Cloudscape	Clear Sky	Clear Sky
1884-08-03	26	29	26	Clear Sky	Clear Sky	Clear Sky	Clear Sky
1884-08-04	24	28	26	Covered Sky	Cloudy	Covered Sky	Covered Sky
1884-08-05	25	29	26	Cloudy	Cloudy	Covered Sky/Stormy Day	Covered Sky/Stormy Day
1884-08-06	27	30	25	Covered Sky	Rainy Day/Stormy Day	Cloudy	Rainy Day/Stormy Day
1884-08-07	28	32	30	Covered Sky	Cloudy	Cloudscape	Covered Sky
1884-08-08	#29	32	29	Cloudscape	Clear Sky	Clear Sky	Clear Sky
1884-08-09	27	30	28	Cloudscape	Clear Sky	Clear Sky	Clear Sky
1884-08-10	26	29	27	Covered Sky	Cloudy	Cloudscape	Covered Sky
1884-08-11	26	30	27	Cloudscape	Clear Sky	Cloudscape	Clear Sky
1884-08-12	25	30	25	Cloudy	Cloudscape	Clear Sky	Clear Sky
1884-08-13	24	28	25	Rainy Day/Stormy Day	Covered Sky	Cloudy	Rainy Day/Stormy Day
1884-08-14	25	27	26	Cloudscape	Cloudy	Cloudscape	Clear Sky
1884-08-18	24	29	26	Covered Sky	Cloudscape	Covered Sky	Covered Sky
1884-08-19	25	29	26	Cloudscape	Cloudy	Cloudscape	Clear Sky
1884-08-20	25	30	27	Rainy Day/Stormy Day	Covered Sky	Covered Sky	Rainy Day/Stormy Day
1884-08-21	24	29	25	Covered Sky	Cloudscape	Rainy Day/Stormy Day	Rainy Day/Stormy Day
1884-08-22	24	28	25	Cloudscape	Clear Sky	Cloudscape	Clear Sky
1884-08-23	23	28	25	Cloudy	Covered Sky	Covered Sky	Covered Sky
1884-08-24	24	29	26	Cloudy	Covered Sky	Rainy Day/Stormy Day	Rainy Day/Stormy Day
1884-08-25	23	28	24	Rainy Day	Covered Sky	Rainy Day	Rainy Day
1884-08-26	22	25	23	Cloudy	Covered Sky	Covered Sky	Covered Sky
1884-08-27	23	25	22	Cloudscape	Clear Sky	Cloudscape	Clear Sky
1884-08-28	21	27	23	Clear Sky	Cloudy	Cloudy	Clear Sky
1884-08-29	22	28	25	Cloudy	Cloudy	Clear Sky	Clear Sky
1884-08-30	24	29	25	Cloudscape	Cloudy	Covered Sky	Covered Sky
1884-08-31	23	#29	23	Rainy Day	Covered Sky	Cloudy	Rainy Day
1884-09-01	21	24	20	Covered Sky	Cloudy	Covered Sky	Covered Sky
1884-09-02	19	22	20	Cloudscape	Clear Sky	Covered Sky	Covered Sky
1884-09-03	18	24	19	Covered Sky	Rainy Day	Rainy Day	Rainy Day
1884-09-04	17	22	19	Cloudscape	Cloudy	Clear Sky	Clear Sky
1884-09-05	18	23	20	Cloudy	Cloudscape	Clear Sky	Clear Sky
1884-09-06	19	25	22	Covered Sky	Covered Sky	Cloudy	Covered Sky
1884-09-07	21	26	22	Cloudscape	Clear Sky	Cloudscape	Clear Sky
1884-09-08	20	26	23	Cloudy	Covered Sky	Covered Sky	Covered Sky
1884-09-09	22	27	23	Clear Sky	Cloudscape	Clear Sky	Clear Sky
1884-09-10	23	29	23	Clear Sky	Cloudscape	Clear Sky	Clear Sky
1884-09-11	21	27	24	Cloudscape	Clear Sky	Cloudscape	Clear Sky
1884-09-12	22	26	22	Cloudscape	Clear Sky	Clear Sky	Clear Sky
1884-09-13	21	25	22	Covered Sky	Cloudy	Covered Sky	Covered Sky
1884-09-14	20	26	23	Rainy Day	Covered Sky	Covered Sky	Rainy Day
1884-09-18	19	24	21	Covered Sky	Rainy Day	Rainy Day	Rainy Day
1884-09-19	20	25	21	Rainy Day	Covered Sky	Rainy Day	Rainy Day
1884-09-20	19	24	20	Rainy Day	Covered Sky	Rainy Day	Rainy Day
1884-09-21	18	24	20	Rainy Day	Cloudy	Rainy Day	Rainy Day
1884-09-22	17	22	19	Covered Sky	Cloudy	Covered Sky	Covered Sky
1884-09-23	17	21	17	Cloudy	Rainy Day	Covered Sky	Covered Sky
1884-09-24	16	22	20	Cloudscape	Clear Sky	Cloudscape	Clear Sky
1884-09-25	18	23	19	Cloudscape	Cloudy	Clear Sky	Clear Sky
1884-09-26	16	19	17	Cloudy	Cloudscape	Covered Sky	Covered Sky
1884-09-27	17	23	20	Cloudy	Clear Sky	Covered Sky	Covered Sky
1884-09-28	18	23	20	Cloudscape	Clear Sky	Clear Sky	Clear Sky
1884-09-29	19	25	22	Rainy Day/Stormy Day	Covered Sky	Cloudy	Rainy Day/Stormy Day
1884-09-30	18	22	19	Rainy Day	Covered Sky	Cloudy	Rainy Day
1885-06-01	19	23	20	Cloudscape	Clear Sky	Clear Sky	Clear Sky
1885-06-02	20	24	21	Clear Sky	Cloudscape	Clear Sky	Clear Sky
1885-06-03	20	23	20	Covered Sky	Covered Sky/Stormy Day	Covered Sky	Covered Sky/Stormy Day
1885-06-04	19	23	21	Clear Sky	Covered Sky	Cloudy	Covered Sky
1885-06-05	20	24	21	Cloudscape	Clear Sky	Clear Sky	Clear Sky
1885-06-06	21	25	22	Clear Sky	Cloudscape	Cloudscape	Clear Sky
1885-06-07	19	24	21	Covered Sky	Cloudscape	Covered Sky	Covered Sky
1885-06-08	20	#25	21	Cloudy	Covered Sky	Covered Sky	Covered Sky
1885-06-09	16	20	17	Covered Sky	Rainy Day	Covered Sky	Rainy Day
1885-06-10	16	19	17	Clear Sky	Cloudscape	Cloudscape	Clear Sky
1885-06-11	16	20	18	Clear Sky	Cloudscape	Clear Sky	Clear Sky
1885-06-12	17	22	20	Clear Sky	Clear Sky	Cloudscape	Clear Sky
1885-06-13	19	24	21	Clear Sky	Cloudy	Cloudy	Clear Sky
1885-06-16	18	22	19	Cloudy	Rainy Day	Rainy Day	Rainy Day
1885-06-17	19	24	20	Covered Sky	Cloudy	Covered Sky	Covered Sky
1885-06-18	19	23	20	Clear Sky	Cloudscape	Covered Sky	Covered Sky
1885-06-19	21	25	22	Cloudscape	Cloudy	Cloudscape	Clear Sky
1885-06-20	19	23	20	Clear Sky	Cloudscape	Clear Sky	Clear Sky
1885-06-21	20	25	22	Clear Sky	Clear Sky	Cloudscape	Clear Sky
1885-06-22	21	25	21	Covered Sky	Cloudy	Rainy Day/Stormy Day	Rainy Day/Stormy Day
1885-06-23	20	24	20	Covered Sky	Rainy Day	Rainy Day	Rainy Day
1885-06-24	18	23	20	Rainy Day	Covered Sky	Cloudy	Rainy Day
1885-06-25	19	23	19	Rainy Day	Covered Sky	Rainy Day	Rainy Day
1885-06-26	17	22	20	Covered Sky	Cloudy	Covered Sky	Covered Sky
1885-06-27	18	22	19	Rainy Day	Covered Sky	Cloudy	Rainy Day
1885-06-28	17	21	18	Rainy Day	Covered Sky	Rainy Day	Rainy Day
1885-06-29	18	23	19	Rainy Day	Covered Sky	Cloudy	Rainy Day
1885-06-30	17	21	18	Rainy Day	Covered Sky	Covered Sky	Rainy Day
1885-07-01	17	20	18	Cloudy	Covered Sky	Covered Sky	Covered Sky
1885-07-02	17	21	18	Clear Sky	Cloudy	Covered Sky	Covered Sky
1885-07-03	16	20	17	Covered Sky	Rainy Day	Rainy Day/Stormy Day	Rainy Day/Stormy Day
1885-07-04	17	20	18	Cloudy	Covered Sky	Covered Sky	Covered Sky
1885-07-05	18	22	19	Covered Sky	Cloudscape	Clear Sky	Covered Sky
1885-07-06	17	22	20	Cloudscape	Cloudy	Clear Sky	Clear Sky
1885-07-07	19	23	20	Cloudscape	Cloudscape	Cloudy	Clear Sky
1885-07-08	20	24	22	Covered Sky	Cloudy	Covered Sky	Covered Sky
1885-07-09	21	24	20	Cloudscape	Clear Sky	Clear Sky	Clear Sky
1885-07-10	19	24	20	Clear Sky	Clear Sky	Clear Sky	Clear Sky
1885-07-11	19	23	21	Cloudy	Cloudscape	Clear Sky	Clear Sky
