/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from BAALME1 (1912-1935), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926178 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.710000 * LONGITUDE: -6.400000 * ALTITUDE: 336 m
	DATE/TIME START: 1912-11-01T00:00:00 * DATE/TIME END: 1935-06-01T00:00:00
Event(s):	BAALME1 * LATITUDE: 38.710000 * LONGITUDE: -6.400000 * ALTITUDE: 336 m * LOCATION: Almendralejo, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Number of rainy days [days/month] (Rainy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of snowy days [days/month] (Snowy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Precipitation [mm/month] (Precip) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Hellmann Rain Gauge
	Precipitation, daily, maximum [mm/day] (Precip day max) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Hellmann Rain Gauge * COMMENT: within this month
	Date (Date) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: of max daily precipitation
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean, in rainy days (W = west, E = east, N = north, S = south) (From the North to East (0º-90º): 1er Cte = first quadrant, from the East to South (90º-180º): 2º Cte = second quadrant, from the South to West (180º-270º): 3er Cte = third quadrant, from the West to North (270º-360º): 4º Cte = fourth quadrant) ("Various" means several directions)
	Wind direction description (Wind dir descr) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: max, in rainy days (W = west, E = east, N = north, S = south) (From the North to East (0º-90º): 1er Cte = first quadrant, from the East to South (90º-180º): 2º Cte = second quadrant, from the South to West (180º-270º): 3er Cte = third quadrant, from the West to North (270º-360º): 4º Cte = fourth quadrant) ("Various" means several directions)
	Number of dew days [days/month] (Dew days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of frost days [days/month] (Frost days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of foggy days [days/month] (Foggy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of stormy days [days/month] (Stormy days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
	Number of hail days [days/month] (Hail days) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * METHOD/DEVICE: Observation (OBSE)
Size:	1136 data points
*/
Date/Time	Rainy days [days/month] (Observation)	Snowy days [days/month] (Observation)	Precip [mm/month] (Hellmann Rain Gauge)	Precip day max [mm/day] (within this month, Hellmann R...)	Date (of max daily precipitation, m...)	Wind dir descr (mean, in rainy days (W = west...)	Wind dir descr (max, in rainy days (W = west,...)	Dew days [days/month] (Observation)	Frost days [days/month] (Observation)	Foggy days [days/month] (Observation)	Stormy days [days/month] (Observation)	Hail days [days/month] (Observation)
1925-01	3	0	5.20	2.4	1925-01-23						0	0
1925-02	11	0	59.00	13.8	1925-02-14						0	1
1925-03	6	2	16.50	12.3	1925-03-11						0	1
1925-04	8	0	19.00	5.8	1925-04-20						0	0
1925-05	5	0	31.30	14.4	1925-05-18						0	0
1925-06	12	0	183.40	56.0	1925-06-03	2° Cte	E				6	0
1925-07	3	0	11.00	6.6	1925-07-22	Various	SW				1	0
1925-08	1	0	2.10	2.1	1925-08-24						0	0
1925-09	1	0	1.10	1.1	1925-09-23						0	0
1925-10	7	0	40.80	23.0	1925-10-11	2° Cte					1	0
1925-11	14	0	59.20	16.0	1925-11-27						0	1
1925-12	16	0	76.40	23.5	1925-12-20	S	S				0	0
1926-01	6	0	18.90	6.5	1926-01-14						0	0
1926-02	11	0	61.50	14.5	1926-02-06	S-W	W				0	0
1926-03	9	0	32.90	6.0	1926-03-21	W	W				0	1
1926-04	11	0	18.60	12.1	1926-04-22	W	W				1	2
1926-05	6	0	40.20	16.5	1926-05-21	W	W				1	0
1926-06	1	0	0.50	0.5	1926-06-03						0	0
1926-07	0	0	0.00	0.0							0	0
1926-08	2	0	27.40	25.0	1926-08-31	SE	SE				2	0
1926-09	0	0	0.00	0.0							0	0
1926-10	9	0	101.20	37.7	1926-10-22	W	SW				2	0
1926-11	17	0	81.30	23.1	1926-11-19	W	W				0	1
1926-12	3	0	14.50	8.0	1926-12-27	E	W				0	0
1927-01	14	0	46.90	11.0	1927-01-24	W	S				0	0
1927-02	7	0	27.20	9.2	1927-02-13	3er Cte	S				0	0
1927-03	11	0	39.30	14.6	1927-03-17	W	S				0	1
1927-04	2	0	3.40	2.0	1927-04-04	E-W	E				1	0
1927-05	6	0	69.30	19.5	1927-05-14	3er Cte	W-S				5	3
1927-06	4	0	25.30	12.2	1927-06-01	S-E	S				2	0
1927-07	1	0	1.80	1.8	1927-07-02	W	W				0	0
1927-08	1	0	5.20	5.2	1927-08-29	SW	SW				1	0
1927-09	3	0	9.90	7.1	1927-09-25	W	W				0	0
1927-10	5	0	60.80	39.3	1927-10-22	W	S				0	0
1927-11	7	0	69.80	27.0	1927-11-18	S	S				0	0
1927-12	17	0	86.60	24.8	1927-12-30	W	E				1	1
1928-01	11	0	14.70	4.5	1928-01-16	W	W				0	0
1928-02	6	0	49.70	18.0	1928-02-29	2° Cte	SE				0	0
1928-03	18	0	56.40	16.0	1928-03-21	W	S				0	1
1928-04	16	0	118.50	29.0	1928-04-06	3er Cte	W				1	1
1928-05	11	0	28.60	7.2	1928-05-06	3er Cte	SW				0	1
1928-06	5	0	25.10	16.5	1928-06-06	3er Cte	S				1	0
1928-07	2	0	6.70	4.8	1928-07-18	W	E				1	0
1928-08	1	0	9.20	9.2	1928-08-03	SW	SW				1	0
1928-09	5	0	33.70	9.3	1928-09-26	S	S				1	0
1928-10	5	0	13.90	5.8	1928-10-02	W	S				0	0
1928-11	8	0	47.90	14.6	1928-11-08	3er Cte	S				0	0
1928-12	9	0	19.40	7.5	1928-12-11	3er Cte	W				0	0
1931-01	8	0	41.20	22.3	1931-01-02				7	3		
1931-02	5	0	6.40	5.8	1931-02-07				1			
1931-03	17	0	141.90	43.1	1931-03-11							
1931-04	8	0	23.50	12.8	1931-04-06							
1932-09	2	0	95.00	50.0	1932-09-24							
1932-10	4	0	41.00	37.5	1932-10-13							
1932-11	10	0	36.20	17.0	1932-11-16							
1932-12	16	0	65.70	18.0	1932-12-12							
1933-01	10	1	50.90	13.5	1933-01-02	3° Cte	SN		10	2		
1933-02	4	0	13.50	4.9	1933-02-13	SE			7			
1933-03	12	0	70.00	14.3	1933-03-29	SW		2				
1933-04	0	0	0.00	0.0								
1933-05	6	0	23.70	15.5	1933-05-02	SW	S				3	
1933-06	1	0	5.00	5.0	1933-06-03	W						
1933-12	9	0	49.10	10.0	1933-12-14							
1934-01	4	0	3.80	2.0	1934-01-13			0	0	0	0	0
1934-02	4	1	5.00	2.9	1934-02-26			0	0	0	0	0
1934-03	11	1	75.40	19.0	1934-03-09			0	0	0	1	1
1934-04	13	0	61.80	9.2	1934-04-08			0	0	0	0	0
1934-05	6	0	25.20	12.0	1934-05-16			0	0	0	3	0
1934-06	0	0	0.00	0.0				0	0	0	0	0
1934-07	0	0	0.00	0.0				0	0	0	0	0
1934-08	0	0	0.00	0.0				0	0	0	0	0
1934-09	0	0	0.00	0.0				0	0	0	0	0
1934-10	0	0	0.00	0.0				0	0	0	0	0
1934-11	7	0	50.30	14.4	1934-11-21			0	0	0	0	0
1934-12	14	0	94.80	30.4	1934-12-10			0	0	0	0	0
1935-01	2	0	2.80	2.5	1935-01-10							
1935-02	2	0	10.00	6.0	1935-02-28							
1935-03	3	0	18.40	8.1	1935-03-16							
1935-04	4	0	16.10	8.0	1935-04-27							
1935-05	13	0	84.50	17.2	1935-05-16							
1935-06	0	0	0.00	0.0								
