Telegraphic weather messages from Iceland during October 1906 - only two stations had been connected by then
Akureyri (422) and Seyðisfjörður (615) 
Column headings: 
Lina = file row number (irrelevant here)
Stod : stations Ar=year, Man=month dagur=day, klst=hr pp=pressure mmHg*10-7000, dd=wind dir (0 to 32), ff=force Beaufort, 
ww-present cloud and weather, tt=tempearture (code) fauka=for wind force greater than bf9, p=pressure in hPa, t=temperature in °C. 


LINA    STOD    AR      MAN     DAGUR   KLST    PP      DD      FF      WW      TT      FAUKA   P       T
73      422     1906    10      11      21      531     32      3       5       12      #       1004.1  1.2
18858   615     1906    10      11      21      536     #       2       5       26      #       1004.7  2.6
12      422     1906    10      12      8       549     32      3       6       990     #       1006.5  -1.0
18766   615     1906    10      12      8       544     2       3       6       5       #       1005.8  0.5
43      422     1906    10      12      14      575     32      3       6       994     #       1009.9  -0.6
18797   615     1906    10      12      14      564     30      5       4       3       #       1008.5  0.3
18828   615     1906    10      12      17      574     30      6       6       993     #       1009.8  -0.7
74      422     1906    10      12      21      600     4       5       6       970     #       1013.3  -3.0
18859   615     1906    10      12      21      589     28      5       6       982     #       1011.8  -1.8
13      422     1906    10      13      8       642     16      1       1       942     #       1018.8  -5.8
18767   615     1906    10      13      8       634     30      6       6       972     #       1017.8  -2.8
44      422     1906    10      13      14      607     16      2       4       965     #       1014.2  -3.5
18798   615     1906    10      13      14      633     24      4       4       27      #       1017.6  2.7
18829   615     1906    10      13      17      616     22      3       4       972     #       1015.4  -2.8
75      422     1906    10      13      21      482     20      5       6       982     #       997.5   -1.8
18860   615     1906    10      13      21      562     #       1       4       976     #       1008.2  -2.4
14      422     1906    10      14      8       283     20      3       2       43      #       971.0   4.3
18768   615     1906    10      14      8       340     26      2       4       28      #       978.6   2.8
45      422     1906    10      14      14      242     20      2       2       46      #       965.5   4.6
18799   615     1906    10      14      14      280     22      2       4       36      #       970.6   3.6
18830   615     1906    10      14      17      256     22      3       4       58      #       967.4   5.8
76      422     1906    10      14      21      271     4       5       5       19      #       969.4   1.9
18861   615     1906    10      14      21      246     #       1       4       34      #       966.1   3.4
15      422     1906    10      15      8       383     2       8       6       977     #       984.3   -2.3
18769   615     1906    10      15      8       350     30      5       6       997     #       979.9   -0.3
46      422     1906    10      15      14      422     32      8       6       957     #       989.5   -4.3
18800   615     1906    10      15      14      406     32      6       4       975     #       987.4   -2.5
18831   615     1906    10      15      17      410     2       6       4       962     #       987.9   -3.8
77      422     1906    10      15      21      435     32      8       6       954     #       991.3   -4.6
18862   615     1906    10      15      21      418     #       7       4       961     #       989.0   -3.9
16      422     1906    10      16      8       445     32      7       6       980     #       992.6   -2.0
18770   615     1906    10      16      8       430     0       0       6       998     #       990.6   -0.2
47      422     1906    10      16      14      473     28      2       6       995     #       996.3   -0.5
18801   615     1906    10      16      14      464     2       4       6       2       #       995.1   0.2
18832   615     1906    10      16      17      480     6       4       6       997     #       997.3   -0.3
78      422     1906    10      16      21      494     30      7       6       975     #       999.1   -2.5
18863   615     1906    10      16      21      486     #       2       0       987     #       998.1   -1.3
17      422     1906    10      17      8       509     16      1       4       953     #       1001.1  -4.7
18771   615     1906    10      17      8       516     22      4       2       958     #       1002.1  -4.2
48      422     1906    10      17      14      515     24      1       2       932     #       1001.9  -6.8
18802   615     1906    10      17      14      533     22      3       3       966     #       1004.3  -3.4
18833   615     1906    10      17      17      527     24      3       2       955     #       1003.5  -4.5
79      422     1906    10      17      21      519     22      4       1       960     #       1002.5  -4.0
18864   615     1906    10      17      21      543     32      3       0       928     #       1005.7  -7.2
18      422     1906    10      18      8       484     20      6       4       21      #       997.8   2.1
18772   615     1906    10      18      8       518     24      5       2       17      #       1002.3  1.7
49      422     1906    10      18      14      486     16      2       3       32      #       998.1   3.2
18803   615     1906    10      18      14      527     24      5       4       44      #       1003.5  4.4
18834   615     1906    10      18      17      519     22      4       4       43      #       1002.5  4.3
80      422     1906    10      18      21      481     18      6       4       30      #       997.4   3.0
18865   615     1906    10      18      21      522     22      4       2       46      #       1002.9  4.6
19      422     1906    10      19      8       462     20      3       3       50      #       994.9   5.0
18773   615     1906    10      19      8       520     0       0       4       27      #       1002.6  2.7
50      422     1906    10      19      14      487     16      2       3       59      #       998.2   5.9
18804   615     1906    10      19      14      529     22      3       4       80      #       1003.8  8.0
18835   615     1906    10      19      17      538     22      2       4       84      #       1005.0  8.4
81      422     1906    10      19      21      506     16      5       4       60      #       1000.7  6.0
18866   615     1906    10      19      21      542     #       2       4       46      #       1005.5  4.6
20      422     1906    10      20      8       531     16      2       2       43      #       1004.1  4.3
18774   615     1906    10      20      8       580     0       0       2       32      #       1010.6  3.2
51      422     1906    10      20      14      544     16      2       2       67      #       1005.8  6.7
18805   615     1906    10      20      14      593     0       0       0       65      #       1012.3  6.5
18836   615     1906    10      20      17      596     2       1       4       51      #       1012.7  5.1
82      422     1906    10      20      21      546     16      1       4       32      #       1006.1  3.2
18867   615     1906    10      20      21      586     #       1       4       34      #       1011.4  3.4
21      422     1906    10      21      8       511     0       0       4       31      #       1001.4  3.1
18775   615     1906    10      21      8       548     18      2       5       82      #       1006.3  8.2
52      422     1906    10      21      14      469     16      4       3       67      #       995.8   6.7
18806   615     1906    10      21      14      522     18      2       4       92      #       1002.9  9.2
18837   615     1906    10      21      17      503     18      3       4       88      #       1000.3  8.8
83      422     1906    10      21      21      422     0       0       4       40      #       989.5   4.0
18868   615     1906    10      21      21      471     #       3       5       77      #       996.1   7.7
22      422     1906    10      22      8       329     20      1       2       62      #       977.1   6.2
18776   615     1906    10      22      8       398     18      3       4       133     #       986.3   13.3
53      422     1906    10      22      14      312     20      3       2       92      #       974.9   9.2
18807   615     1906    10      22      14      363     32      4       4       114     #       981.7   11.4
18838   615     1906    10      22      17      356     32      2       4       92      #       980.7   9.2
84      422     1906    10      22      21      327     16      4       3       61      #       976.9   6.1
18869   615     1906    10      22      21      358     #       2       2       87      #       981.0   8.7
23      422     1906    10      23      8       337     32      1       5       45      #       978.2   4.5
18777   615     1906    10      23      8       358     0       0       4       64      #       981.0   6.4
54      422     1906    10      23      14      362     32      1       5       40      #       981.5   4.0
18808   615     1906    10      23      14      397     22      6       1       98      #       986.2   9.8
18839   615     1906    10      23      17      397     24      3       0       65      #       986.2   6.5
85      422     1906    10      23      21      397     30      1       4       20      #       986.2   2.0
18870   615     1906    10      23      21      414     #       3       0       65      #       988.5   6.5
24      422     1906    10      24      8       415     16      1       4       10      #       988.6   1.0
18778   615     1906    10      24      8       436     2       1       2       7       #       991.4   0.7
55      422     1906    10      24      14      420     0       0       4       6       #       989.3   0.6
18809   615     1906    10      24      14      450     0       0       5       28      #       993.3   2.8
18840   615     1906    10      24      17      452     18      1       8       23      #       993.5   2.3
86      422     1906    10      24      21      437     0       0       3       991     #       991.5   -0.9
18871   615     1906    10      24      21      460     0       0       2       16      #       994.6   1.6
25      422     1906    10      25      8       477     16      1       1       991     #       996.9   -0.9
18779   615     1906    10      25      8       493     24      4       0       46      #       999.0   4.6
56      422     1906    10      25      14      478     16      1       1       12      #       997.0   1.2
18810   615     1906    10      25      14      517     22      5       1       61      #       1002.2  6.1
18841   615     1906    10      25      17      509     0       0       4       40      #       1001.1  4.0
87      422     1906    10      25      21      394     20      2       6       23      #       985.8   2.3
18872   615     1906    10      25      21      431     #       7       5       52      #       990.7   5.2
26      422     1906    10      26      8       213     21      2       3       10      #       961.7   1.0
18780   615     1906    10      26      8       266     22      8       1       93      #       968.7   9.3
57      422     1906    10      26      14      258     16      5       3       56      #       967.7   5.6
18811   615     1906    10      26      14      318     22      9       0       88      #       975.7   8.8
18842   615     1906    10      26      17      330     20      6       0       75      #       977.3   7.5
88      422     1906    10      26      21      330     12      3       3       0       #       977.3   0.0
18873   615     1906    10      26      21      375     #       4       0       32      #       983.3   3.2
27      422     1906    10      27      8       399     18      3       2       982     #       986.5   -1.8
18781   615     1906    10      27      8       450     0       0       1       988     #       993.3   -1.2
58      422     1906    10      27      14      355     24      1       2       21      #       980.6   2.1
18812   615     1906    10      27      14      417     2       5       5       24      #       988.9   2.4
18843   615     1906    10      27      17      371     2       9       5       12      #       982.7   1.2
89      422     1906    10      27      21      268     14      3       4       37      #       969.0   3.7
18874   615     1906    10      27      21      310     #       6       5       47      #       974.6   4.7
28      422     1906    10      28      8       292     20      2       0       978     #       972.2   -2.2
18782   615     1906    10      28      8       323     2       5       5       39      #       976.3   3.9
59      422     1906    10      28      14      312     4       2       3       27      #       974.9   2.7
18813   615     1906    10      28      14      327     2       5       3       36      #       976.9   3.6
18844   615     1906    10      28      17      338     2       5       3       34      #       978.3   3.4
90      422     1906    10      28      21      334     24      3       0       0       #       977.8   0.0
18875   615     1906    10      28      21      338     2       5       3       31      #       978.3   3.1
29      422     1906    10      29      8       364     0       0       3       995     #       981.8   -0.5
18783   615     1906    10      29      8       358     2       6       5       39      #       981.0   3.9
60      422     1906    10      29      14      400     4       2       4       28      #       986.6   2.8
18814   615     1906    10      29      14      402     2       5       5       47      #       986.9   4.7
18845   615     1906    10      29      17      430     2       5       5       45      #       990.6   4.5
91      422     1906    10      29      21      477     30      3       4       32      #       996.9   3.2
18876   615     1906    10      29      21      455     2       4       5       32      #       993.9   3.2
30      422     1906    10      30      8       556     30      3       5       27      #       1007.4  2.7
18784   615     1906    10      30      8       532     4       1       5       42      #       1004.2  4.2
61      422     1906    10      30      14      576     32      2       5       40      #       1010.1  4.0
18815   615     1906    10      30      14      567     8       1       5       47      #       1008.9  4.7
18846   615     1906    10      30      17      577     0       0       5       48      #       1010.2  4.8
92      422     1906    10      30      21      590     30      2       4       29      #       1011.9  2.9
18877   615     1906    10      30      21      593     0       0       5       37      #       1012.3  3.7
31      422     1906    10      31      8       559     12      2       3       9       #       1007.8  0.9
18785   615     1906    10      31      8       594     32      1       7       34      #       1012.5  3.4
62      422     1906    10      31      14      533     16      1       3       46      #       1004.3  4.6
18816   615     1906    10      31      14      586     2       2       7       34      #       1011.4  3.4
18847   615     1906    10      31      17      581     0       0       4       35      #       1010.7  3.5
93      422     1906    10      31      21      516     22      2       3       31      #       1002.1  3.1
18878   615     1906    10      31      21      576     0       0       0       22      #       1010.1  2.2
end of file
