Oudorp(65_G) "52° 38'" NB "4° 46'" OL  9999.9 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 N  Bedekkingsgraad  :  van de bovenlucht  (deca). ;  N  Cloudcover  :  Cloud cover of the upper air  (deca).
 RD  Dagsom neerslag  :  dagsom  (0.1 mm). ;  RD  Daily precipitation  :  sum  (0.1 mm).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).

DATUM,tijd,N,Q_N,RD,Q_RD,T,Q_T
18740831,2400,,,3,0,,
18740901,800,,,,,170,0
18740901,2000,,,,,210,0
18740901,2400,,,24,0,,
18740902,800,,,,,200,0
18740902,2000,,,,,165,0
18740902,2400,,,73,0,,
18740903,800,,,,,170,0
18740903,2000,,,,,150,0
18740903,2400,,,2,0,,
18740904,800,,,,,155,0
18740904,2000,,,,,120,0
18740904,2400,,,183,0,,
18740905,800,,,,,145,0
18740905,2000,,,,,140,0
18740905,2400,,,68,0,,
18740906,800,,,,,140,0
18740906,2000,,,,,115,0
18740906,2400,,,88,0,,
18740907,800,,,,,145,0
18740907,2000,,,,,120,0
18740907,2400,,,17,0,,
18740908,800,,,,,170,0
18740908,2000,,,,,125,0
18740908,2400,,,53,0,,
18740909,800,,,,,150,0
18740909,2000,,,,,155,0
18740909,2400,,,46,0,,
18740910,800,,,,,140,0
18740910,2000,,,,,105,0
18740910,2400,,,156,0,,
18740911,800,,,,,155,0
18740911,2000,,,,,115,0
18740911,2400,,,128,0,,
18740912,800,,,,,150,0
18740912,2000,,,,,125,0
18740912,2400,,,52,0,,
18740913,800,,,,,130,0
18740913,2000,,,,,115,0
18740913,2400,,,24,0,,
18740914,800,,,,,140,0
18740914,2000,,,,,100,0
18740914,2400,2,0,,,,
18740915,800,,,,,125,0
18740915,2000,,,,,100,0
18740915,2400,10,0,,,,
18740916,800,,,,,135,0
18740916,2000,,,,,100,0
18740916,2400,8,0,,,,
18740917,800,,,,,150,0
18740917,2000,,,,,80,0
18740917,2400,10,0,,,,
18740918,800,,,,,140,0
18740918,2000,,,,,60,0
18740918,2400,,,9,0,,
18740919,800,,,,,85,0
18740919,2000,,,,,100,0
18740919,2400,0,0,,,,
18740920,800,,,,,150,0
18740920,2000,,,,,130,0
18740920,2400,5,0,,,,
18740921,800,,,,,140,0
18740921,2000,,,,,155,0
18740921,2400,,,17,0,,
18740922,800,,,,,150,0
18740922,2000,,,,,150,0
18740922,2400,2,0,,,,
18740923,800,,,,,150,0
18740923,2000,,,,,165,0
18740923,2400,,,12,0,,
18740924,800,,,,,160,0
18740924,2000,,,,,140,0
18740924,2400,,,191,0,,
18740925,800,,,,,150,0
18740925,2000,,,,,170,0
18740925,2400,2,0,,,,
18740926,800,,,,,180,0
18740926,2000,,,,,130,0
18740926,2400,0,0,,,,
18740927,800,,,,,170,0
18740927,2000,,,,,145,0
18740927,2400,0,0,,,,
18740928,800,,,,,165,0
18740928,2000,,,,,180,0
18740928,2400,,,11,0,,
18740929,800,,,,,180,0
18740929,2000,,,,,165,0
18740929,2400,,,94,0,,
18740930,800,,,,,160,0
18740930,2000,,,,,140,0
18740930,2400,,,104,0,,
18741001,800,,,,,180,0
18741001,2000,,,,,145,0
18741001,2400,,,58,0,,
18741002,800,,,,,140,0
18741002,2000,,,,,130,0
18741002,2400,,,67,0,,
18741003,800,,,,,115,0
18741003,2000,,,,,135,0
18741003,2400,,,36,0,,
18741004,800,,,,,120,0
18741004,2000,,,,,95,0
18741004,2400,,,138,0,,
18741005,800,,,,,100,0
18741005,2000,,,,,85,0
18741005,2400,,,56,0,,
18741006,800,,,,,90,0
18741006,2000,,,,,105,0
18741006,2400,,,6,0,,
18741007,800,,,,,100,0
18741007,2000,,,,,115,0
18741007,2400,5,0,,,,
18741008,800,,,,,110,0
18741008,2000,,,,,80,0
18741008,2400,,,11,0,,
18741009,800,,,,,95,0
18741009,2000,,,,,80,0
18741009,2400,2,0,,,,
18741010,800,,,,,130,0
18741010,2000,,,,,70,0
18741011,800,,,,,105,0
18741011,2000,,,,,95,0
18741011,2400,0,0,,,,
18741012,800,,,,,130,0
18741012,2000,,,,,90,0
18741013,800,,,,,100,0
18741013,2000,,,,,80,0
18741014,800,,,,,110,0
18741014,2000,,,,,140,0
18741014,2400,0,0,,,,
18741015,800,,,,,120,0
18741015,2000,,,,,120,0
18741015,2400,0,0,,,,
18741016,800,,,,,120,0
18741016,2000,,,,,140,0
18741016,2400,10,0,,,,
18741017,800,,,,,130,0
18741017,2000,,,,,90,0
18741017,2400,8,0,,,,
18741018,800,,,,,135,0
18741018,2000,,,,,130,0
18741018,2400,,,16,0,,
18741019,800,,,,,140,0
18741019,2000,,,,,125,0
18741019,2400,,,32,0,,
18741020,800,,,,,110,0
18741020,2000,,,,,95,0
18741020,2400,,,1,0,,
18741021,800,,,,,110,0
18741021,2000,,,,,100,0
18741021,2400,,,140,0,,
18741022,800,,,,,80,0
18741022,2000,,,,,95,0
18741022,2400,,,30,0,,
18741023,800,,,,,95,0
18741023,2000,,,,,95,0
18741023,2400,,,15,0,,
18741024,800,,,,,75,0
18741024,2000,,,,,85,0
18741024,2400,,,1,0,,
18741025,800,,,,,55,0
18741025,2000,,,,,110,0
18741025,2400,,,4,0,,
18741026,800,,,,,110,0
18741026,2000,,,,,110,0
18741026,2400,,,5,0,,
18741027,800,,,,,100,0
18741027,2000,,,,,100,0
18741027,2400,,,5,0,,
18741028,800,,,,,95,0
18741028,2000,,,,,85,0
18741029,800,,,,,80,0
18741029,2000,,,,,80,0
18741029,2400,,,5,0,,
18741030,800,,,,,90,0
18741030,2000,,,,,95,0
18741031,800,,,,,80,0
18741031,2000,,,,,50,0
18741031,2400,,,1,0,,
18741101,800,,,,,80,0
18741101,2000,,,,,50,0
18741102,800,,,,,35,0
18741102,2000,,,,,25,0
18741103,800,,,,,20,0
18741103,2000,,,,,90,0
18741104,800,,,,,95,0
18741104,2000,,,,,75,0
18741104,2400,,,11,0,,
18741105,800,,,,,70,0
18741105,2000,,,,,30,0
18741105,2400,,,6,0,,
18741106,800,,,,,70,0
18741106,2000,,,,,120,0
18741106,2400,,,4,0,,
18741107,800,,,,,110,0
18741107,2000,,,,,75,0
18741108,800,,,,,45,0
18741108,2000,,,,,50,0
18741109,800,,,,,60,0
18741109,2000,,,,,65,0
18741109,2400,,,2,0,,
18741110,800,,,,,115,0
18741110,2000,,,,,50,0
18741110,2400,,,17,0,,
18741111,800,,,,,25,0
18741111,2000,,,,,80,0
18741111,2400,,,76,0,,
18741112,800,,,,,30,0
18741112,2000,,,,,60,0
18741112,2400,,,38,0,,
18741113,800,,,,,45,0
18741113,2000,,,,,30,0
18741113,2400,,,159,0,,
18741114,800,,,,,5,0
18741114,2000,,,,,25,0
18741114,2400,,,5,0,,
18741115,800,,,,,60,0
18741115,2000,,,,,50,0
18741115,2400,,,75,0,,
18741116,800,,,,,50,0
18741116,2000,,,,,75,0
18741116,2400,,,82,0,,
18741117,800,,,,,55,0
18741117,2000,,,,,55,0
18741117,2400,,,92,0,,
18741118,800,,,,,55,0
18741118,2000,,,,,55,0
18741118,2400,,,79,0,,
18741119,800,,,,,80,0
18741119,2000,,,,,55,0
18741119,2400,,,91,0,,
18741120,800,,,,,40,0
18741120,2000,,,,,40,0
18741120,2400,,,37,0,,
18741121,800,,,,,25,0
18741121,2000,,,,,25,0
18741121,2400,,,50,0,,
18741122,800,,,,,25,0
18741122,2000,,,,,30,0
18741122,2400,5,0,,,,
18741123,800,,,,,40,0
18741123,2000,,,,,-15,0
18741123,2400,,,5,0,,
18741124,800,,,,,0,0
18741124,2400,,,1,0,,
18741125,800,,,,,0,0
18741125,2000,,,,,-35,0
18741125,2400,8,0,,,,
18741126,800,,,,,-25,0
18741126,2000,,,,,-15,0
18741126,2400,0,0,,,,
18741127,800,,,,,-30,0
18741127,2000,,,,,-25,0
18741127,2400,0,0,,,,
18741128,800,,,,,-20,0
18741128,2000,,,,,-10,0
18741128,2400,2,0,,,,
18741129,800,,,,,25,0
18741129,2000,,,,,75,0
18741129,2400,,,122,0,,
18741130,800,,,,,60,0
18741130,2000,,,,,75,0
18741130,2400,,,290,0,,
18741201,800,,,,,60,0
18741201,2000,,,,,30,0
18741201,2400,,,138,0,,
18741202,800,,,,,0,0
18741202,2000,,,,,-30,0
18741202,2400,,,7,0,,
18741203,800,,,,,5,0
18741203,2000,,,,,-20,0
18741203,2400,,,18,0,,
18741204,800,,,,,5,0
18741204,2000,,,,,10,0
18741204,2400,0,0,,,,
18741205,800,,,,,45,0
18741205,2000,,,,,70,0
18741205,2400,,,17,0,,
18741206,800,,,,,70,0
18741206,2000,,,,,95,0
18741206,2400,,,56,0,,
18741207,800,,,,,55,0
18741207,2000,,,,,50,0
18741207,2400,,,32,0,,
18741208,800,,,,,60,0
18741208,2000,,,,,60,0
18741208,2400,,,527,0,,
18741209,800,,,,,65,0
18741209,2000,,,,,60,0
18741209,2400,,,152,0,,
18741210,800,,,,,20,0
18741210,2000,,,,,0,0
18741210,2400,,,16,0,,
18741211,800,,,,,10,0
18741211,2000,,,,,10,0
18741211,2400,,,11,0,,
18741212,800,,,,,35,0
18741212,2000,,,,,20,0
18741212,2400,,,132,0,,
18741213,800,,,,,10,0
18741213,2000,,,,,15,0
18741213,2400,,,18,0,,
18741214,800,,,,,20,0
18741214,2000,,,,,15,0
18741214,2400,,,4,0,,
18741215,800,,,,,0,0
18741215,2000,,,,,-5,0
18741215,2400,8,0,,,,
18741216,800,,,,,-15,0
18741216,2000,,,,,-10,0
18741216,2400,10,0,,,,
18741217,800,,,,,0,0
18741217,2000,,,,,5,0
18741217,2400,5,0,,,,
18741218,800,,,,,10,0
18741218,2000,,,,,-5,0
18741218,2400,8,0,,,,
18741219,800,,,,,45,0
18741219,2000,,,,,-15,0
18741219,2400,,,47,0,,
18741220,800,,,,,0,0
18741220,2000,,,,,-35,0
18741220,2400,,,20,0,,
18741221,800,,,,,-25,0
18741221,2000,,,,,-20,0
18741221,2400,2,0,,,,
18741222,800,,,,,-40,0
18741222,2000,,,,,15,0
18741222,2400,8,0,,,,
18741223,800,,,,,10,0
18741223,2000,,,,,35,0
18741223,2400,,,8,0,,
18741224,800,,,,,5,0
18741224,2000,,,,,-15,0
18741224,2400,,,6,0,,
18741225,800,,,,,-2,0
18741225,2000,,,,,-15,0
18741225,2400,,,7,0,,
18741226,800,,,,,-35,0
18741226,2000,,,,,-5,0
18741226,2400,10,0,,,,
18741227,800,,,,,-45,0
18741227,2000,,,,,-50,0
18741228,800,,,,,-45,0
18741228,2000,,,,,-55,0
18741229,800,,,,,-115,0
18741229,2000,,,,,-80,0
18741229,2400,0,0,,,,
18741230,800,,,,,-45,0
18741230,2000,,,,,-20,0
18741230,2400,,,10,0,,
18741231,800,,,,,-100,0
18741231,2000,,,,,-40,0
18750101,800,,,,,-40,0
18750101,2000,,,,,-40,0
18750102,800,,,,,-20,0
18750102,2000,,,,,30,0
18750102,2400,10,0,,,,
18750103,800,,,,,25,0
18750103,2000,,,,,50,0
18750103,2400,,,86,0,,
18750104,800,,,,,50,0
18750104,2000,,,,,50,0
18750104,2400,,,5,0,,
18750105,800,,,,,50,0
18750105,2000,,,,,45,0
18750105,2400,,,4,0,,
18750106,800,,,,,30,0
18750106,2000,,,,,35,0
18750106,2400,,,6,0,,
18750107,800,,,,,35,0
18750107,2000,,,,,10,0
18750107,2400,10,0,,,,
18750108,800,,,,,-20,0
18750108,2000,,,,,15,0
18750109,800,,,,,25,0
18750109,2000,,,,,20,0
18750109,2400,,,4,0,,
18750110,800,,,,,5,0
18750110,2000,,,,,20,0
18750110,2400,5,0,,,,
18750111,800,,,,,35,0
18750111,2000,,,,,15,0
18750111,2400,5,0,,,,
18750112,800,,,,,60,0
18750112,2000,,,,,50,0
18750113,800,,,,,60,0
18750113,2000,,,,,40,0
18750113,2400,,,14,0,,
18750114,800,,,,,35,0
18750114,2000,,,,,50,0
18750114,2400,,,24,0,,
18750115,800,,,,,75,0
18750115,2000,,,,,80,0
18750115,2400,,,14,0,,
18750116,800,,,,,35,0
18750116,2000,,,,,65,0
18750116,2400,,,35,0,,
18750117,800,,,,,50,0
18750117,2000,,,,,40,0
18750117,2400,,,42,0,,
18750118,800,,,,,60,0
18750118,2000,,,,,60,0
18750118,2400,,,214,0,,
18750119,800,,,,,80,0
18750119,2000,,,,,70,0
18750119,2400,8,0,,,,
18750120,800,,,,,80,0
18750120,2000,,,,,70,0
18750120,2400,2,0,,,,
18750121,800,,,,,60,0
18750121,2000,,,,,60,0
18750121,2400,,,52,0,,
18750122,800,,,,,30,0
18750122,2000,,,,,20,0
18750122,2400,2,0,,,,
18750123,800,,,,,20,0
