Amsterdam (Filiaal Inrichting)(123_G) "52:22:29" NB "4:56:16" OL     1.4 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. Q=7: onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. Q=7: not valid. 

 DD  Windrichting  :  Richting waaruit de wind waait  (streek). ;  DD  Wind direction  :  direction where the wind comes from  (compass points).
 FFb  Windsnelheid  :   herstelde Bft schaal  (Bft). ;  FFb  Windspeed  :  restored Bft scale  (Bft).
 N  Bedekkingsgraad  :  van de bovenlucht  (deca). ;  N  Cloudcover  :  Cloud cover of the upper air  (deca).
 Phpa  Druk  :  Totale luchtdruk  (0.1 hPa). ;  Phpa  Pressuse  :  Total air pressure  (0.1 hPa).
 R6  Dagsom neerslag  :  dagsom  (0.1 mm). ;  R6  Daily precipitation  :  sum  (0.1 mm).
 TD  Maximum Temp  :  Maximum temparatuur  (0.1 Celcius). ;  TD  Maximum Temp  :  Maximum temparature   (0.1 Celcius).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).
 TN6  Minimum Temp  :  Minimum temparature sinds vorige meting   (0.1 Celcius). ;  TN6  Minimum Temp  :  Minimum temperature   (0.1 Celcius).
 TX6  Maximum Temp  :  Maximum temparature sinds vorige meting  (0.1 Celcius). ;  TX6  Maximum Temp  :  Maximum temparature   (0.1 Celcius).
 U  Relatieve Vochtigheid  :  Hoeveelheid vocht in de lucht in % van verzadiging  (%). ;  U  Rel Humidity  :  Amount of moist in the air as % of saturation  (%).
 SX  Sneeuwdikte  :  Kwalitatieve beschrijving  (code). ;  SX  Snowdepth  :  Qualitative description  (code).
 WW  Weercode  :  SYNOP code   (code). ;  WW  Wheather code  :  SYNOP code   (code).
 DP  Drukanomalie  :  Afwijking van normaal  (0.01 cm Hg). ;  DP  Pressure anomaly  :  description  (0.01 cm Hg).
 EE  Dampdruk  :  Druk van het deel waterdamp  (0.01 mmHg). ;  EE  Vapourpressure  :  Pressure of the watervapour  (0.01 mmHg).
 RD  Dagsom neerslag  :  dagsom  (0.1 mm). ;  RD  Daily precipitation  :  sum  (0.1 mm).

DATUM,tijd,DD,Q_DD,FFb,Q_FFb,N,Q_N,Phpa,Q_Phpa,R6,Q_R6,TD,Q_TD,T,Q_T,TN6,Q_TN6,TX6,Q_TX6,U,Q_U,SX,Q_SX,WW,Q_WW,DP,Q_DP,EE,Q_EE,RD,Q_RD
18870809,2400,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
18870810,800,NW,0,,,,,,,,,,,147,0,,,,,,,,,,,-18,0,,,,
18870810,1400,NW,0,,,,,,,,,,,155,0,,,,,,,,,,,-13,0,,,,
18870810,2000,NW,0,,,,,,,,,,,141,0,,,,,,,,,,,-6,0,,,,
18870810,2400,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
18870811,800,WNW,0,,,,,,,,,,,130,0,,,,,,,,,,,-5,0,,,,
18870811,1400,NW,0,,,,,,,,,,,140,0,,,,,,,,,,,-7,0,,,,
18870811,2000,WNW,0,,,,,,,,,,,124,0,,,,,,,,,,,-5,0,,,,
18870811,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870812,800,WNW,0,,,,,,,,,,,138,0,,,,,,,,,,,-9,0,,,,
18870812,1400,NW,0,,,,,,,,,,,152,0,,,,,,,,,,,-10,0,,,,
18870812,2000,NW,0,,,,,,,,,,,136,0,,,,,,,,,,,-8,0,,,,
18870812,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870813,800,ZZO,0,,,,,,,,,,,133,0,,,,,,,,,,,-33,0,,,,
18870813,1400,N,0,,,,,,,,,,,150,0,,,,,,,,,,,-46,0,,,,
18870813,2000,NNO,0,,,,,,,,,,,125,0,,,,,,,,,,,-44,0,,,,
18870813,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870814,800,N,0,,,,,,,,,,,130,0,,,,,,,,,,,-27,0,,,,
18870814,1400,WNW,0,,,,,,,,,,,142,0,,,,,,,,,,,-13,0,,,,
18870814,2000,WNW,0,,,,,,,,,,,131,0,,,,,,,,,,,0,0,,,,
18870814,2400,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
18870815,800,ZZW,0,,,,,,,,,,,122,0,,,,,,,,,,,9,0,,,,
18870815,1400,W,0,,,,,,,,,,,163,0,,,,,,,,,,,12,0,,,,
18870815,2000,N,0,,,,,,,,,,,135,0,,,,,,,,,,,-1,0,,,,
18870815,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0
18870816,800,NO,0,,,,,,,,,,,139,0,,,,,,,,,,,-35,0,,,,
18870816,1400,NO,0,,,,,,,,,,,162,0,,,,,,,,,,,-51,0,,,,
18870816,2000,NNO,0,,,,,,,,,,,146,0,,,,,,,,,,,-57,0,,,,
18870816,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870817,800,N,0,,,,,,,,,,,151,0,,,,,,,,,,,-38,0,,,,
18870817,1400,O,0,,,,,,,,,,,181,0,,,,,,,,,,,-42,0,,,,
18870817,2000,NO,0,,,,,,,,,,,150,0,,,,,,,,,,,-50,0,,,,
18870817,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870818,800,NNO,0,,,,,,,,,,,143,0,,,,,,,,,,,-70,0,,,,
18870818,1400,NNO,0,,,,,,,,,,,168,0,,,,,,,,,,,-66,0,,,,
18870818,2000,NNW,0,,,,,,,,,,,120,0,,,,,,,,,,,-46,0,,,,
18870818,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0
18870819,800,NW,0,,,,,,,,,,,140,0,,,,,,,,,,,-31,0,,,,
18870819,1400,NW,0,,,,,,,,,,,138,0,,,,,,,,,,,-28,0,,,,
18870819,2000,N,0,,,,,,,,,,,138,0,,,,,,,,,,,-28,0,,,,
18870819,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0
18870820,800,ONO,0,,,,,,,,,,,133,0,,,,,,,,,,,-21,0,,,,
18870820,1400,NNO,0,,,,,,,,,,,152,0,,,,,,,,,,,-27,0,,,,
18870820,2000,N,0,,,,,,,,,,,121,0,,,,,,,,,,,-24,0,,,,
18870820,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0
18870821,800,NW,0,,,,,,,,,,,134,0,,,,,,,,,,,4,0,,,,
18870821,1400,NW,0,,,,,,,,,,,144,0,,,,,,,,,,,6,0,,,,
18870821,2000,NW,0,,,,,,,,,,,125,0,,,,,,,,,,,15,0,,,,
18870821,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0
18870822,800,WNW,0,,,,,,,,,,,138,0,,,,,,,,,,,29,0,,,,
18870822,1400,O,0,,,,,,,,,,,164,0,,,,,,,,,,,37,0,,,,
18870822,2000,NW,0,,,,,,,,,,,143,0,,,,,,,,,,,35,0,,,,
18870822,2400,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,
18870823,800,ZZW,0,,,,,,,,,,,145,0,,,,,,,,,,,34,0,,,,
18870823,1400,W,0,,,,,,,,,,,198,0,,,,,,,,,,,32,0,,,,
18870823,2000,NO,0,,,,,,,,,,,165,0,,,,,,,,,,,31,0,,,,
18870823,2400,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,
18870824,800,O,0,,,,,,,,,,,165,0,,,,,,,,,,,26,0,,,,
18870824,1400,O,0,,,,,,,,,,,204,0,,,,,,,,,,,16,0,,,,
18870824,2000,NO,0,,,,,,,,,,,160,0,,,,,,,,,,,10,0,,,,
18870824,2400,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,
18870825,800,ZZO,0,,,,,,,,,,,178,0,,,,,,,,,,,2,0,,,,
18870825,1400,O,0,,,,,,,,,,,224,0,,,,,,,,,,,-6,0,,,,
18870825,2000,ONO,0,,,,,,,,,,,196,0,,,,,,,,,,,-13,0,,,,
18870825,2400,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18870826,800,Z,0,,,,,,,,,,,195,0,,,,,,,,,,,-16,0,,,,
18870826,1400,O,0,,,,,,,,,,,242,0,,,,,,,,,,,-27,0,,,,
18870826,2000,OZO,0,,,,,,,,,,,212,0,,,,,,,,,,,-34,0,,,,
18870826,2400,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18870827,800,ZZO,0,,,,,,,,,,,192,0,,,,,,,,,,,-43,0,,,,
18870827,1400,WZW,0,,,,,,,,,,,228,0,,,,,,,,,,,-33,0,,,,
18870827,2000,NNW,0,,,,,,,,,,,191,0,,,,,,,,,,,-26,0,,,,
18870827,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0
18870828,800,O,0,,,,,,,,,,,197,0,,,,,,,,,,,-47,0,,,,
18870828,1400,Z,0,,,,,,,,,,,212,0,,,,,,,,,,,-56,0,,,,
18870828,2000,ZZO,0,,,,,,,,,,,194,0,,,,,,,,,,,-57,0,,,,
18870828,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0
18870829,800,ZZW,0,,,,,,,,,,,181,0,,,,,,,,,,,-65,0,,,,
18870829,1400,ZZW,0,,,,,,,,,,,194,0,,,,,,,,,,,-55,0,,,,
18870829,2000,ZZW,0,,,,,,,,,,,178,0,,,,,,,,,,,-49,0,,,,
18870829,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0
18870830,800,ZZW,0,,,,,,,,,,,178,0,,,,,,,,,,,-64,0,,,,
18870830,1400,ZZW,0,,,,,,,,,,,198,0,,,,,,,,,,,-52,0,,,,
18870830,2000,ZZW,0,,,,,,,,,,,178,0,,,,,,,,,,,-47,0,,,,
18870830,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,0
18870831,800,ZZW,0,,,,,,,,,,,163,0,,,,,,,,,,,-99,0,,,,
18870831,1400,ZZW,0,,,,,,,,,,,169,0,,,,,,,,,,,-99,0,,,,
18870831,2000,ZW,0,,,,,,,,,,,169,0,,,,,,,,,,,-80,0,,,,
18870831,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0
18870901,800,ZW,0,,,,,,,,,,,157,0,,,,,,,,,,,-61,0,,,,
18870901,1400,ZW,0,,,,,,,,,,,173,0,,,,,,,,,,,-53,0,,,,
18870901,2000,Z,0,,,,,,,,,,,156,0,,,,,,,,,,,-61,0,,,,
18870901,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0
18870902,800,Z,0,,,,,,,,,,,176,0,,,,,,,,,,,-116,0,,,,
18870902,1400,ZZW,0,,,,,,,,,,,195,0,,,,,,,,,,,-113,0,,,,
18870902,2000,ZZW,0,,,,,,,,,,,166,0,,,,,,,,,,,-92,0,,,,
18870902,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0
18870903,800,ZZW,0,,,,,,,,,,,156,0,,,,,,,,,,,-38,0,,,,
18870903,1400,ZZW,0,,,,,,,,,,,181,0,,,,,,,,,,,-20,0,,,,
18870903,2000,Z,0,,,,,,,,,,,168,0,,,,,,,,,,,-20,0,,,,
18870903,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0
18870904,800,Z,0,,,,,,,,,,,139,0,,,,,,,,,,,-51,0,,,,
18870904,1400,ZW,0,,,,,,,,,,,181,0,,,,,,,,,,,-62,0,,,,
18870904,2000,Z,0,,,,,,,,,,,162,0,,,,,,,,,,,-63,0,,,,
18870904,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0
18870905,800,ZZW,0,,,,,,,,,,,142,0,,,,,,,,,,,-122,0,,,,
18870905,1400,ZW,0,,,,,,,,,,,164,0,,,,,,,,,,,-107,0,,,,
18870905,2000,ZW,0,,,,,,,,,,,169,0,,,,,,,,,,,-129,0,,,,
18870905,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,0
18870906,800,WZW,0,,,,,,,,,,,159,0,,,,,,,,,,,-102,0,,,,
18870906,1400,WZW,0,,,,,,,,,,,176,0,,,,,,,,,,,-99,0,,,,
18870906,2000,ZZW,0,,,,,,,,,,,159,0,,,,,,,,,,,-101,0,,,,
18870906,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0
18870907,800,Z,0,,,,,,,,,,,156,0,,,,,,,,,,,-87,0,,,,
18870907,1400,WZW,0,,,,,,,,,,,173,0,,,,,,,,,,,-69,0,,,,
18870907,2000,NNW,0,,,,,,,,,,,138,0,,,,,,,,,,,-30,0,,,,
18870907,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0
18870908,800,N,0,,,,,,,,,,,128,0,,,,,,,,,,,81,0,,,,
18870908,1400,ONO,0,,,,,,,,,,,155,0,,,,,,,,,,,81,0,,,,
18870908,2000,stil,0,,,,,,,,,,,138,0,,,,,,,,,,,82,0,,,,
18870908,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0
18870909,800,ZZW,0,,,,,,,,,,,134,0,,,,,,,,,,,77,0,,,,
18870909,1400,Z,0,,,,,,,,,,,162,0,,,,,,,,,,,59,0,,,,
18870909,2000,Z,0,,,,,,,,,,,141,0,,,,,,,,,,,40,0,,,,
18870909,2400,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18870910,800,ZZW,0,,,,,,,,,,,136,0,,,,,,,,,,,-10,0,,,,
18870910,1400,NW,0,,,,,,,,,,,144,0,,,,,,,,,,,-11,0,,,,
18870910,2000,Z,0,,,,,,,,,,,131,0,,,,,,,,,,,-6,0,,,,
18870910,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0
18870911,800,ZZW,0,,,,,,,,,,,126,0,,,,,,,,,,,-22,0,,,,
18870911,1400,WZW,0,,,,,,,,,,,153,0,,,,,,,,,,,-38,0,,,,
18870911,2000,ZW,0,,,,,,,,,,,131,0,,,,,,,,,,,-57,0,,,,
18870911,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0
18870912,800,NW,0,,,,,,,,,,,139,0,,,,,,,,,,,-85,0,,,,
18870912,1400,WNW,0,,,,,,,,,,,129,0,,,,,,,,,,,-89,0,,,,
18870912,2000,WZW,0,,,,,,,,,,,120,0,,,,,,,,,,,-91,0,,,,
18870912,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0
18870913,800,W,0,,,,,,,,,,,112,0,,,,,,,,,,,-78,0,,,,
18870913,1400,ZW,0,,,,,,,,,,,128,0,,,,,,,,,,,-68,0,,,,
18870913,2000,ZW,0,,,,,,,,,,,102,0,,,,,,,,,,,-59,0,,,,
18870913,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,0
18870914,800,ZW,0,,,,,,,,,,,115,0,,,,,,,,,,,-34,0,,,,
18870914,1400,ZW,0,,,,,,,,,,,126,0,,,,,,,,,,,-36,0,,,,
18870914,2000,Z,0,,,,,,,,,,,100,0,,,,,,,,,,,-26,0,,,,
18870914,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0
18870915,800,Z,0,,,,,,,,,,,109,0,,,,,,,,,,,-5,0,,,,
18870915,1400,ZZW,0,,,,,,,,,,,136,0,,,,,,,,,,,-4,0,,,,
18870915,2000,Z,0,,,,,,,,,,,121,0,,,,,,,,,,,3,0,,,,
18870915,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0
18870916,800,ZZW,0,,,,,,,,,,,113,0,,,,,,,,,,,19,0,,,,
18870916,1400,WZW,0,,,,,,,,,,,153,0,,,,,,,,,,,25,0,,,,
18870916,2000,ZZW,0,,,,,,,,,,,130,0,,,,,,,,,,,30,0,,,,
18870916,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,0
18870917,800,Z,0,,,,,,,,,,,129,0,,,,,,,,,,,41,0,,,,
18870917,1400,W,0,,,,,,,,,,,167,0,,,,,,,,,,,34,0,,,,
18870917,2000,WNW,0,,,,,,,,,,,139,0,,,,,,,,,,,39,0,,,,
18870917,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870918,800,NNO,0,,,,,,,,,,,126,0,,,,,,,,,,,74,0,,,,
18870918,1400,N,0,,,,,,,,,,,141,0,,,,,,,,,,,66,0,,,,
18870918,2000,NNO,0,,,,,,,,,,,131,0,,,,,,,,,,,73,0,,,,
18870918,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0
18870919,800,N,0,,,,,,,,,,,110,0,,,,,,,,,,,88,0,,,,
18870919,1400,NNO,0,,,,,,,,,,,129,0,,,,,,,,,,,83,0,,,,
18870919,2000,NW,0,,,,,,,,,,,125,0,,,,,,,,,,,79,0,,,,
18870919,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870920,800,NW,0,,,,,,,,,,,128,0,,,,,,,,,,,51,0,,,,
18870920,1400,N,0,,,,,,,,,,,135,0,,,,,,,,,,,50,0,,,,
18870920,2000,N,0,,,,,,,,,,,118,0,,,,,,,,,,,51,0,,,,
18870920,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870921,800,N,0,,,,,,,,,,,118,0,,,,,,,,,,,81,0,,,,
18870921,1400,NNO,0,,,,,,,,,,,143,0,,,,,,,,,,,80,0,,,,
18870921,2000,NNO,0,,,,,,,,,,,104,0,,,,,,,,,,,76,0,,,,
18870921,2400,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,
18870922,800,N,0,,,,,,,,,,,103,0,,,,,,,,,,,89,0,,,,
18870922,1400,N,0,,,,,,,,,,,146,0,,,,,,,,,,,74,0,,,,
18870922,2000,NNW,0,,,,,,,,,,,124,0,,,,,,,,,,,73,0,,,,
18870922,2400,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18870923,800,NNW,0,,,,,,,,,,,122,0,,,,,,,,,,,93,0,,,,
18870923,1400,N,0,,,,,,,,,,,142,0,,,,,,,,,,,90,0,,,,
18870923,2000,NNW,0,,,,,,,,,,,112,0,,,,,,,,,,,89,0,,,,
18870923,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870924,800,N,0,,,,,,,,,,,110,0,,,,,,,,,,,100,0,,,,
18870924,1400,NNW,0,,,,,,,,,,,128,0,,,,,,,,,,,80,0,,,,
18870924,2000,NNW,0,,,,,,,,,,,111,0,,,,,,,,,,,73,0,,,,
18870924,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870925,800,NW,0,,,,,,,,,,,104,0,,,,,,,,,,,65,0,,,,
18870925,1400,WNW,0,,,,,,,,,,,126,0,,,,,,,,,,,44,0,,,,
18870925,2000,W,0,,,,,,,,,,,120,0,,,,,,,,,,,31,0,,,,
18870925,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870926,800,ZZW,0,,,,,,,,,,,104,0,,,,,,,,,,,-18,0,,,,
18870926,1400,ZZW,0,,,,,,,,,,,135,0,,,,,,,,,,,-55,0,,,,
18870926,2000,ZZW,0,,,,,,,,,,,128,0,,,,,,,,,,,-76,0,,,,
18870926,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18870927,800,Z,0,,,,,,,,,,,119,0,,,,,,,,,,,-130,0,,,,
18870927,1400,ZW,0,,,,,,,,,,,119,0,,,,,,,,,,,-143,0,,,,
18870927,2000,ZZO,0,,,,,,,,,,,113,0,,,,,,,,,,,-147,0,,,,
18870927,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0
18870928,800,Z,0,,,,,,,,,,,98,0,,,,,,,,,,,-165,0,,,,
18870928,1400,Z,0,,,,,,,,,,,129,0,,,,,,,,,,,-166,0,,,,
18870928,2000,ZO,0,,,,,,,,,,,100,0,,,,,,,,,,,-159,0,,,,
18870928,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0
18870929,800,OZO,0,,,,,,,,,,,90,0,,,,,,,,,,,-154,0,,,,
18870929,1400,ZO,0,,,,,,,,,,,119,0,,,,,,,,,,,-132,0,,,,
18870929,2000,ZZO,0,,,,,,,,,,,99,0,,,,,,,,,,,-106,0,,,,
18870929,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0
18870930,800,NNW,0,,,,,,,,,,,99,0,,,,,,,,,,,-82,0,,,,
18870930,1400,NO,0,,,,,,,,,,,126,0,,,,,,,,,,,-66,0,,,,
18870930,2000,NNO,0,,,,,,,,,,,90,0,,,,,,,,,,,-41,0,,,,
18870930,2400,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,
18871001,800,NNW,0,,,,,,,,,,,93,0,,,,,,,,,,,-13,0,,,,
18871001,1400,N,0,,,,,,,,,,,129,0,,,,,,,,,,,3,0,,,,
18871001,2000,N,0,,,,,,,,,,,100,0,,,,,,,,,,,19,0,,,,
18871001,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0
18871002,800,W,0,,,,,,,,,,,106,0,,,,,,,,,,,36,0,,,,
18871002,1400,WNW,0,,,,,,,,,,,118,0,,,,,,,,,,,40,0,,,,
18871002,2000,NW,0,,,,,,,,,,,118,0,,,,,,,,,,,36,0,,,,
18871002,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0
