TENERIFFE,,"H=70 Feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,9,21,21,12,30.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,9,22,22,45,30.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,9,23,10,15,30.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,9,24,11,9,30.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,9,25,9,40,30.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,9,26,10,29,30.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,9,27,6,56,30.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,9,28,12,10,30.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,9,29,11,34,30.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,9,30,21,20,30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,1,11,40,30.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,2,21,11,30.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,3,11,0,30.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,4,8,45,30.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,5,21,5,30.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,6,11,55,30.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,7,9,55,30.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,8,10,43,30.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,9,10,33,30.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,10,10,15,30.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,11,9,7,30.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,12,9,5,30.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,13,15,0,30.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,18,20,40,30.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,19,21,15,30.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,20,9,6,30.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,21,11,0,30.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,22,11,30,30.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,23,12,18,30.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,24,11,10,30.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,25,8,40,30.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,26,9,5,30.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,27,10,15,30.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,28,9,45,30.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,29,10,35,30.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,30,12,18,30.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,10,31,8,24,30.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,1,9,40,30.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,2,9,0,30.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,3,10,45,30.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,4,9,45,30.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,5,9,25,30.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,6,9,45,29.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,7,9,55,29.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,8,8,31,30.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,9,9,45,30.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,10,1,30,29.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,11,8,30,29.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,12,8,45,29.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,13,10,0,30.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,14,9,17,30.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,15,9,0,30.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,16,8,45,30.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,17,10,5,30.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,18,11,30,30.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,19,11,0,30.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,20,9,35,30.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,21,10,20,30.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,22,9,30,30.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,23,9,55,30.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,24,8,58,30.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,25,13,5,30.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,26,8,45,30.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,27,9,20,30.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,28,9,15,30.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,29,9,35,30.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,11,30,10,0,30.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,1,10,0,30.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,2,10,0,30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,3,9,0,30.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,4,11,0,30.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,5,10,0,30.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,6,11,55,30.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,7,12,5,30.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,8,11,15,30.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,9,21,30,30.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,10,10,15,30.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,11,9,20,30.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,12,10,0,30.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,13,9,45,30.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,14,8,45,30.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,15,9,0,30.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,16,9,4,30.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,17,11,3,30.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,18,10,30,30.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,19,9,45,30.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,20,8,45,29.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,21,9,0,30.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,22,9,50,30.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,23,9,0,30.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,24,10,0,30.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,25,10,5,30.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,26,10,0,30.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,27,9,15,30.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,28,9,3,30.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,29,10,0,30.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,30,9,50,30.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,12,31,9,30,30.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,1,11,0,30.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,2,9,10,30.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,3,9,40,30.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,4,10,5,30.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,5,20,35,30.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,6,10,45,30.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,7,10,30,30.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,8,12,0,30.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,9,20,50,30.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,10,11,20,30.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,11,9,45,30.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,12,9,20,30.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,13,12,0,30.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,14,22,0,30.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,15,10,10,30.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,16,8,50,30.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,17,10,45,30.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,18,9,18,30.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,19,8,30,30.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,20,9,15,30.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,21,9,20,30.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,22,10,3,30.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,23,9,10,30.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,24,8,45,30.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,25,10,30,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,26,9,46,30.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,27,9,0,30.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,28,9,15,29.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,29,9,0,30.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,30,9,45,30.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1,31,12,0,30.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,1,9,5,30.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,2,8,0,30.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,3,10,30,30.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,4,10,8,30.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,5,9,40,30.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,6,10,50,30.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,7,10,5,30.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,8,10,3,30.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,9,9,22,29.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,10,8,45,29.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,11,11,48,30.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,12,7,45,29.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,13,11,30,29.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,14,10,20,30.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,15,9,41,30.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,16,9,12,30.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,17,10,2,30.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,18,8,45,30.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,19,10,35,30.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,20,8,45,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,21,10,0,30.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,22,9,0,30.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,23,21,20,30.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,24,10,30,30.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,25,11,0,30.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,26,10,30,30.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,2,28,7,25,30.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,1,6,16,30.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,2,10,10,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,3,10,25,29.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,4,10,15,29.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,5,11,4,30.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,6,11,55,30.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,7,21,15,30.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,8,9,0,30.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,9,10,0,30.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,10,8,15,30.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,11,9,16,30.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,12,10,5,30.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,13,9,30,30.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,14,9,18,30.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,15,11,10,30.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,16,10,0,30.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,17,9,44,30.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,18,10,6,30.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,19,9,28,30.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,20,9,0,30.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,21,9,11,30.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,22,9,17,30.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,24,7,0,30.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,27,11,0,30.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,28,9,0,30.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,29,8,30,30.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,30,10,0,30.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,1,10,0,30.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,2,10,10,30.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,3,10,10,30.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,4,10,10,30.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,5,9,15,30.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,6,10,8,30.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,7,22,30,30.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,8,9,0,30.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,9,9,30,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,10,8,45,30.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,11,8,46,30.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,12,9,0,30.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,13,9,30,30.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,14,10,0,30.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,15,10,0,30.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,16,9,16,29.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,17,10,11,29.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,18,9,48,29.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,19,9,5,30.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,20,10,14,30.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,21,9,28,30.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,22,9,8,30.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,23,9,0,30.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,24,9,0,30.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,25,10,25,30.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,26,10,0,30.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,27,10,11,30.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,28,21,16,30.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,29,9,50,30.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,4,30,9,3,30.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,1,9,50,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,2,9,1,30.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,3,10,0,30.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,4,12,40,29.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,5,11,0,29.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,6,9,20,29.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,7,9,12,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,8,9,0,30.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,9,9,0,29.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,10,10,30,30.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,11,22,0,30.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,12,9,6,30.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,13,9,30,30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,14,9,40,30.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,15,11,0,30.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,16,9,14,30.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,17,10,40,30.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,18,10,0,30.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,19,9,0,30.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,20,8,50,30.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,21,10,0,30.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,22,11,20,30.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,23,9,0,30.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,24,11,12,30.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,25,10,31,30.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,26,13,0,30.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,27,10,45,30.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,28,22,0,30.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,29,11,30,30.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,5,31,10,45,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,1,21,0,30.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,2,9,30,30.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,3,11,11,30.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,4,9,25,30.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,5,9,0,30.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,6,11,17,30.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,7,10,30,30.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,8,10,4,30.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,9,9,0,30.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,10,11,0,30.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,11,11,30,30.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,12,12,5,30.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,13,23,10,30.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,14,9,0,30.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,15,22,30,30.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,16,10,30,30.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,17,11,13,30.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,18,8,48,30.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,19,10,0,30.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,20,9,15,30.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,21,11,16,30.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,22,11,40,30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,23,10,20,30.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,24,21,30,30.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,25,11,12,30.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,26,9,26,30.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,27,21,9,30.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,28,11,10,30.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,29,10,45,30.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,6,30,9,55,30.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,1,9,15,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,2,22,0,30.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,3,9,50,30.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,4,9,44,30.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,5,9,31,30.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,6,20,50,30.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,7,11,1,30.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,8,11,35,30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,9,8,50,30.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,10,9,10,30.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,11,21,28,30.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,12,11,30,30.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,13,10,50,30.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,14,21,35,30.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,15,9,15,30.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,16,3,19,30.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,7,17,22,40,30.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
