SIBIU,,08:00:00,,,,,,,,,,,
,,,,,,,,,,,,,
1878,January,February,March,April,May,June,July,August,September,October,November,December,
7,765.7,753.2,769.5,757.8,755.3,755.6,759.2,758.3,760.2,765.6,758.7,762.9,7
8,754.7,764,769.9,756,758.4,758,762.6,759.7,763.5,764.1,771.9,770.2,8
9,758.3,762.9,771.9,751,760.5,759.9,761.5,762.9,763.4,763.5,778.3,775.7,9
10,753.3,762.8,769.3,743,750.8,759.2,752.6,758.9,760.1,,778,771.4,10
11,757.2,753.7,764.4,753.6,747.4,760.6,756.3,,758.1,759.9,765,770.1,11
12,762.4,746.5,,753.5,752.5,763.5,761,759.8,758,766.6,761.3,772.3,12
13,770.1,753.1,749.5,740.1,757.4,759.6,764.1,757,762.1,768.1,750.6,772.1,13
14,768.4,756.8,,752.6,758.1,759.7,760.7,756.4,762.4,765.7,753.2,778,14
15,766.3,,765.7,759.1,761,758.3,757.4,758.4,762.1,758,761,784,15
16,765.1,751.9,766.5,754.8,763.3,,753.2,759.1,762.7,757.3,764.4,774.7,16
17,765.4,747.9,763.2,752.2,763.9,758.7,756,759.7,763.6,748.4,758.5,778.8,17
18,767.9,743.2,761.4,752.5,761.11,755.8,758.1,757.9,764,755.4,762.4,775.5,18
19,767.4,738.9,767.1,753.6,756.2,757.3,758,758.2,765,758.9,766.6,771.7,19
20,765.4,752.9,764.5,760.7,760,759.4,760.2,759.5,764.8,760.7,773.3,777.5,20
21,765.5,,756.6,760.4,761.8,761.7,757.4,761.7,764.2,754.7,773.9,772,21
22,775.8,749.6,761.7,756.7,,761.4,,763.2,762.6,755.6,777.6,778.1,22
23,767.7,752.3,757.2,752.1,762.3,759.8,756.3,764.2,758.8,762.3,772.7,781.5,23
24,771.2,753.6,752.7,748,760,758.2,759.5,763.4,760,761.6,765.3,781.1,24
25,,759.8,754.5,754.1,759.9,759.9,764,763.2,767.7,763.2,759.7,775.5,25
26,769.9,751.5,758.8,754,759.1,756.1,762,761,768.2,761.5,758.2,773.6,26
27,774,758.7,761.6,756.7,758.3,766.1,762.8,758.1,765.7,762.9,751,773,27
28,773.3,760.4,756.8,756.2,757.3,763.2,757.9,764.3,767.1,764.2,761.3,782,28
29,772.2,,757.3,755.3,762.6,764.8,763.7,765.1,765,765.9,760.9,777.5,29
30,769.7,,759.1,749.6,765.9,764.2,763.3,765.3,765.3,767.1,755.1,768.9,30
31,,,763.5,,764.7,,763.4,762.1,,768.2,,766.1,31
,,,,,,,,,,,,,
1880,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,,782.1,762.8,756.3,763,761.2,759.1,758.3,768,,767,772.9,1
2,764.2,779.4,760.5,760.9,760.1,763.4,762,754.2,771.1,768.2,768.3,767.7,2
3,769.7,778.7,760.5,760.9,757.5,761.5,763.8,754.2,768.8,759.7,766.8,767.1,3
4,765.5,779.3,760.9,757,753.2,759.6,761.2,750.4,767.6,758.5,767.3,771,4
5,768.9,778,756.8,755,755.1,757.5,759.8,756.5,769.9,764.8,769,775.9,5
6,769.6,772.9,761.2,753.2,759.4,761.1,761.3,759.3,769.3,762.7,765.7,768.1,6
7,772.5,772.8,771.6,753.7,758.4,759.1,763.2,757.7,765,761.5,772.2,771.9,7
8,768.4,772.8,766.4,751,755.8,764.5,761.7,751.6,760.7,760.1,758.8,771.1,8
9,762.9,766.2,778,753.4,752.1,762.1,761.5,752.3,761.9,762,764.9,766.8,9
10,770.4,,778.3,754.3,753.4,761.2,763.9,759.1,761.1,765.8,761.6,751.8,10
11,776.2,765.9,770.6,759.3,759.5,761.7,764.3,753.3,762.2,761.8,765.2,756.6,11
12,779.1,766.2,770.2,760.1,757.4,760.3,765.3,754.5,763.3,768.3,770.6,761.2,12
13,779.7,765.9,777.6,761.3,757.5,759.3,762.6,756.6,764.3,764.5,766.4,757.1,13
14,772.3,767.3,773,770.7,758.7,759.5,760.2,759.6,759.7,758.7,763.7,754.7,14
15,764.5,765.9,764.7,769,756.5,759,757.3,,759.8,765,,,15
16,762.5,764.6,768.3,764,754,767.1,757.2,756.4,760.3,768.3,760.7,762.9,16
17,762.5,764.3,765.7,762.4,756.6,769.1,761.2,756.3,760.2,766.6,755.8,760.2,17
18,763.6,760.5,760.8,762.3,756.1,761.9,761,755.8,758.6,765.6,750.6,763.8,18
19,762.5,764.5,770.7,763.5,752.1,758.6,761,756.4,762.1,764,759.1,764.5,19
20,768.3,772.2,766.3,764.3,757.2,752,768.1,759.5,761.7,761.1,759.1,766.9,20
21,772.6,764.1,764.4,765.6,761.5,752.6,760.1,,755.4,756,770.3,762.7,21
22,770.4,762.9,,764.9,759.9,755.8,760.5,761.4,751.9,757.9,771.7,753.4,22
23,773.6,761.3,774,762.9,759.2,757.5,755.9,757.6,757.3,756.5,768,763,23
24,772.7,759.2,776.2,762.2,763.7,760.5,758.2,760.1,756,753.2,771.5,762,24
25,766.8,764.8,770.8,762,764.8,757.1,764.4,762,756.3,761.5,771.3,754.8,25
26,777,767,767.4,759,769,757.3,761.2,764.4,758.2,766.8,770.1,751.3,26
27,782.4,758,765.3,757.3,766.6,757.2,753.4,762.4,759,763,769.3,764.1,27
28,783.7,757.5,765.9,756,764.8,,753.7,764.8,763.3,,774.4,765.3,28
29,782.4,760.7,765.9,756.9,763.8,760.3,757.6,765.7,765.9,754.3,776.6,768.8,29
30,780.9,,762.3,761.5,760,758.7,757,764,766.4,751.5,778.4,765.7,30
31,770.8,,758,,759.1,,757.1,765.3,,764.5,,762,31
,,,,,,,,,,,,,
1881,January,February,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,
1,762.9,757.3,760.9,759.9,766.6,763,757.5,763.2,760.8,768.1,755.8,773.7,1
2,769.1,761.2,758.9,758.6,765.9,760.9,758.4,762,757.2,763.3,,772.1,2
3,775.5,764.8,762.7,755.7,765.4,761.5,762.1,761.3,753.3,757.7,759.5,774.7,3
4,773.5,766.2,766.4,753.8,761.1,761.2,764.1,760.6,756.5,,772.6,773.3,4
5,768,763.7,764,759.2,762.9,761.3,762.4,767.2,758.2,766.5,781,776.5,5
6,763.6,758.9,759.1,759,768.6,,762.6,767.7,759.8,768.9,774.6,774.8,6
7,778.6,758.7,758.6,757.3,771.9,754.3,761.1,764.6,762,773.7,767.1,773.2,7
8,766.7,761,761.8,756.5,767.9,749.4,759.9,761.3,759,776.8,,766.5,8
9,764.2,750.4,,765.3,760.1,750.1,,758.9,760.5,769.1,771.3,763.7,9
10,765.8,754.6,,766.2,758.5,753.2,758.2,757.5,,763.7,775.3,763.9,10
11,761.6,748.8,754.8,766.8,757.8,756.3,761.9,758.4,763.5,761.5,773.7,767.2,11
12,757.7,738.5,761.1,765.1,760.6,757.4,764.7,761.6,763.6,,771.9,763.8,12
13,754.3,751.8,752.9,767.3,,756.9,761.5,,767.4,757.2,772,767,13
14,747,760.6,759.2,768.4,753.6,761,762.5,754.1,766.1,759.3,764.9,770.8,14
15,756.1,765.8,764.7,769.2,754.1,761.5,764.5,750.5,762.3,759.3,769,772.9,15
16,754,770.5,771.1,766.3,757.4,761,,757.2,761.2,759.4,771.9,770.6,16
17,760.7,770.5,767.6,766.4,757.9,759.9,,759.5,762.1,,767.1,768.8,17
18,758.3,772.4,764,766,761.7,761.2,761.1,750.2,767.7,762,761.4,766.3,18
19,753.9,773.3,,758,762.3,761.5,766.8,756.9,766.8,762.9,768.9,762.6,19
20,747.9,775.9,756.8,747.5,764.2,762.2,762.8,764.4,761.3,760.6,777.1,756.9,20
21,750,779,755.2,749,764.4,764.5,758.2,764.9,757.1,762,775.1,749.2,21
22,763.9,778.2,749.6,751,762.5,765.4,,760.6,759.3,755.9,769.4,757,22
23,766.8,779,751.3,751.6,759.9,764.5,753.8,762.2,756.9,758.6,774.4,766,23
24,767.3,776.6,773.6,755.7,759.5,765.9,758.6,,764.5,756.7,777.3,776.2,24
25,773.9,768.4,759.7,756.1,757.6,765.3,759.8,758.2,769.1,747.1,776.9,772,25
26,771.6,765.4,756.7,759.4,757.7,760.5,759.2,760.2,767.9,752.1,770.9,778.2,26
27,765.3,763.9,758.9,756.8,757.2,756.4,755.8,,766.8,755.5,768.3,780.8,27
28,762.2,764.1,757.7,755.2,754.9,756.7,,758.2,767,764.5,765.8,774.5,28
29,754,,756.7,756.6,752.7,758.9,766,755.1,768.1,760.6,769.6,773.5,29
30,757.4,,756.4,759.7,758.7,760.4,767.3,764.2,,753.8,774.2,772,30
31,755.1,,755.3,,764.6,,765,764.8,,757.1,,772.5,31
